0
1;6.64;4.57;-0.02;0.02
2;8.93;7.50;-0.02;0.02
3;4.75;4.87;0.02;0.02
4;2.49;2.74;-0.03;-0.01
5;1.92;4.95;0.02;-0.02
6;6.68;5.94;0.00;0.03
7;8.77;5.13;0.02;-0.02
8;7.16;5.91;-0.03;0.01
9;7.15;5.78;-0.01;0.03
10;4.60;3.79;-0.03;0.01
11;9.29;0.92;-0.03;0.01
12;4.40;1.95;0.03;0.00
13;4.30;4.37;0.01;0.03
14;8.82;6.26;0.03;0.01
15;7.42;4.22;-0.02;0.02
16;1.73;2.51;0.03;0.01
17;0.06;9.02;-0.01;-0.03
18;7.89;8.18;-0.03;0.02
19;8.29;3.59;0.03;-0.01
20;1.60;0.60;-0.02;0.02
21;4.19;0.29;0.02;0.02
22;7.39;8.89;-0.01;0.03
23;5.48;1.81;-0.03;-0.01
24;7.72;2.66;-0.02;-0.02
25;0.76;6.16;0.03;0.01
26;1.24;0.05;0.03;0.00
27;0.12;0.89;-0.01;0.03
28;4.74;5.35;0.01;0.03
29;7.64;9.54;0.03;-0.01
30;4.74;4.98;0.02;-0.02
31;5.11;5.64;0.03;-0.01
32;9.03;5.81;-0.01;-0.03
33;6.11;9.97;-0.03;0.01
34;6.63;1.70;-0.02;0.02
35;0.51;3.08;0.02;-0.02
36;0.54;0.79;-0.03;0.01
37;9.45;2.88;0.01;0.03
38;1.70;4.74;0.03;0.01
39;6.33;3.41;0.03;-0.00
40;4.25;1.91;-0.02;-0.02
41;5.23;7.55;0.03;0.01
42;1.97;3.80;0.03;0.00
43;3.56;8.63;-0.02;0.02
44;6.72;0.73;-0.01;0.03
45;2.01;0.39;-0.01;0.03
46;3.08;9.51;0.03;0.01
47;3.96;7.89;0.01;-0.03
48;6.17;8.18;-0.02;0.02
49;6.87;2.80;-0.01;-0.03
50;3.23;9.13;-0.02;-0.02
51;3.26;3.10;0.03;0.00
52;5.43;8.86;0.01;0.03
53;5.46;2.46;-0.03;0.01
54;5.38;6.30;-0.03;-0.02
55;1.30;5.85;0.03;-0.02
56;5.12;1.04;-0.01;-0.03
57;0.93;3.97;-0.01;0.03
58;8.06;1.14;-0.03;0.00
59;6.18;5.66;-0.00;0.03
60;8.99;8.38;-0.01;0.03
61;3.29;8.72;0.03;0.00
62;8.30;7.61;-0.02;-0.02
63;7.77;1.22;-0.02;-0.02
64;6.18;9.09;-0.01;0.03
65;4.58;5.27;-0.03;-0.01
66;8.87;6.40;0.03;0.01
67;8.91;9.77;-0.02;-0.02
68;4.12;2.95;-0.01;-0.03
69;9.63;0.01;0.01;-0.03
70;4.59;1.91;0.02;-0.03
71;0.11;5.72;-0.02;-0.02
72;2.59;5.57;0.03;0.00
73;5.68;3.47;0.01;0.03
74;6.01;2.40;-0.02;-0.03
75;6.08;7.57;-0.03;-0.00
76;3.35;3.35;0.03;0.01
77;7.61;0.63;0.00;-0.03
78;4.84;2.24;0.03;0.01
79;9.25;2.42;-0.01;-0.03
80;0.46;1.06;-0.01;0.03
81;8.77;3.43;-0.02;0.02
82;4.19;4.73;0.02;-0.02
83;7.27;9.69;0.01;-0.03
84;4.87;7.16;-0.03;-0.01
85;9.93;1.15;-0.01;-0.03
86;6.83;3.61;0.00;-0.03
87;7.62;0.40;0.03;-0.02
88;2.13;0.08;-0.02;-0.02
89;1.44;8.64;-0.03;-0.02
90;7.61;0.19;-0.03;0.01
91;3.94;4.89;0.03;0.00
